"","subject","activity","domain","dimension","component","instrument","jerk","magnitude","statistic","count","mean_value"
"47","1","laying","time","Z","NA","gyroscope","NA","NA","mean",50,0.14868943626
"48","1","laying","time","Z","NA","gyroscope","NA","NA","std",50,-0.9082846626
"49","1","laying","time","Z","NA","gyroscope","jerk","NA","mean",50,-0.0740501211
"50","1","laying","time","Z","NA","gyroscope","jerk","NA","std",50,-0.9577901596
"51","1","laying","time","Z","body","accelerometer","NA","NA","mean",50,-0.11320355358
"52","1","laying","time","Z","body","accelerometer","NA","NA","std",50,-0.826061401628
"53","1","laying","time","Z","body","accelerometer","jerk","NA","mean",50,0.010834236361
"54","1","laying","time","Z","body","accelerometer","jerk","NA","std",50,-0.9548551108
"55","1","laying","time","Z","gravity","accelerometer","NA","NA","mean",50,0.4458177198
"56","1","laying","time","Z","gravity","accelerometer","NA","NA","std",50,-0.85236629022
"57","1","laying","time",NA,"NA","gyroscope","NA","magnitude","mean",50,-0.874759548
"58","1","laying","time",NA,"NA","gyroscope","NA","magnitude","std",50,-0.81901016976
"59","1","laying","time",NA,"NA","gyroscope","jerk","magnitude","mean",50,-0.96346103
"60","1","laying","time",NA,"NA","gyroscope","jerk","magnitude","std",50,-0.9358409828
"61","1","laying","time",NA,"body","accelerometer","NA","magnitude","mean",50,-0.8419291525
"62","1","laying","time",NA,"body","accelerometer","NA","magnitude","std",50,-0.79514486386
"63","1","laying","time",NA,"body","accelerometer","jerk","magnitude","mean",50,-0.9543962646
"64","1","laying","time",NA,"body","accelerometer","jerk","magnitude","std",50,-0.9282456284
"65","1","laying","time",NA,"gravity","accelerometer","NA","magnitude","mean",50,-0.8419291525
"66","1","laying","time",NA,"gravity","accelerometer","NA","magnitude","std",50,-0.79514486386
"67","1","sitting","frequency","X","NA","gyroscope","NA","NA","mean",47,-0.976161464042553
"68","1","sitting","frequency","X","NA","gyroscope","NA","NA","std",47,-0.977904227021277
"69","1","sitting","frequency","X","body","accelerometer","NA","NA","mean",47,-0.979641238723404
"70","1","sitting","frequency","X","body","accelerometer","NA","NA","std",47,-0.976412313191489
"71","1","sitting","frequency","X","body","accelerometer","jerk","NA","mean",47,-0.986597022553191
"72","1","sitting","frequency","X","body","accelerometer","jerk","NA","std",47,-0.987492994468085
"73","1","sitting","frequency","Y","NA","gyroscope","NA","NA","mean",47,-0.975838585319149
"74","1","sitting","frequency","Y","NA","gyroscope","NA","NA","std",47,-0.962345042553192
"75","1","sitting","frequency","Y","body","accelerometer","NA","NA","mean",47,-0.944084550425532
"76","1","sitting","frequency","Y","body","accelerometer","NA","NA","std",47,-0.917275006382979
"77","1","sitting","frequency","Y","body","accelerometer","jerk","NA","mean",47,-0.981579467021277
"78","1","sitting","frequency","Y","body","accelerometer","jerk","NA","std",47,-0.982513909574468
"79","1","sitting","frequency","Z","NA","gyroscope","NA","NA","mean",47,-0.951315544468085
"80","1","sitting","frequency","Z","NA","gyroscope","NA","NA","std",47,-0.94391784106383
"81","1","sitting","frequency","Z","body","accelerometer","NA","NA","mean",47,-0.959184889148936
"82","1","sitting","frequency","Z","body","accelerometer","NA","NA","std",47,-0.934469558085106
"83","1","sitting","frequency","Z","body","accelerometer","jerk","NA","mean",47,-0.986053092340425
"84","1","sitting","frequency","Z","body","accelerometer","jerk","NA","std",47,-0.988339184893617
"85","1","sitting","frequency",NA,"NA","gyroscope","NA","magnitude","mean",47,-0.958435589361702
"86","1","sitting","frequency",NA,"NA","gyroscope","NA","magnitude","std",47,-0.932198374893617
"87","1","sitting","frequency",NA,"NA","gyroscope","jerk","magnitude","mean",47,-0.989797547234043
"88","1","sitting","frequency",NA,"NA","gyroscope","jerk","magnitude","std",47,-0.987049617234043
"89","1","sitting","frequency",NA,"body","accelerometer","NA","magnitude","mean",47,-0.947782922553192
"90","1","sitting","frequency",NA,"body","accelerometer","NA","magnitude","std",47,-0.928444801702128
"91","1","sitting","frequency",NA,"body","accelerometer","jerk","magnitude","mean",47,-0.985262126808511
"92","1","sitting","frequency",NA,"body","accelerometer","jerk","magnitude","std",47,-0.981606177446808
"93","1","sitting","time","X","NA","gyroscope","NA","NA","mean",47,-0.045350056512766
"94","1","sitting","time","X","NA","gyroscope","NA","NA","std",47,-0.977211283191489
"95","1","sitting","time","X","NA","gyroscope","jerk","NA","mean",47,-0.0936793807234043
"96","1","sitting","time","X","NA","gyroscope","jerk","NA","std",47,-0.99173159212766
"97","1","sitting","time","X","body","accelerometer","NA","NA","mean",47,0.261237565425532
"98","1","sitting","time","X","body","accelerometer","NA","NA","std",47,-0.977229008297872
"99","1","sitting","time","X","body","accelerometer","jerk","NA","mean",47,0.0774825199574468
"100","1","sitting","time","X","body","accelerometer","jerk","NA","std",47,-0.986430711276596
"101","1","sitting","time","X","gravity","accelerometer","NA","NA","mean",47,0.831509933404255
"102","1","sitting","time","X","gravity","accelerometer","NA","NA","std",47,-0.968457145744681
"103","1","sitting","time","Y","NA","gyroscope","NA","NA","mean",47,-0.0919241549361702
"104","1","sitting","time","Y","NA","gyroscope","NA","NA","std",47,-0.966473895319149
"105","1","sitting","time","Y","NA","gyroscope","jerk","NA","mean",47,-0.0402118124255319
"106","1","sitting","time","Y","NA","gyroscope","jerk","NA","std",47,-0.989518068510638
"107","1","sitting","time","Y","body","accelerometer","NA","NA","mean",47,-0.00130828765170213
"108","1","sitting","time","Y","body","accelerometer","NA","NA","std",47,-0.922618641914894
"109","1","sitting","time","Y","body","accelerometer","jerk","NA","mean",47,-0.000619102785106384
"110","1","sitting","time","Y","body","accelerometer","jerk","NA","std",47,-0.981371965319149
"111","1","sitting","time","Y","gravity","accelerometer","NA","NA","mean",47,0.204411592680851
"112","1","sitting","time","Y","gravity","accelerometer","NA","NA","std",47,-0.935517055957447
"113","1","sitting","time","Z","NA","gyroscope","NA","NA","mean",47,0.0629313811914894
"114","1","sitting","time","Z","NA","gyroscope","NA","NA","std",47,-0.941425920851064
"115","1","sitting","time","Z","NA","gyroscope","jerk","NA","mean",47,-0.046702627
"116","1","sitting","time","Z","NA","gyroscope","jerk","NA","std",47,-0.987935806382979
"117","1","sitting","time","Z","body","accelerometer","NA","NA","mean",47,-0.104544182255319
"118","1","sitting","time","Z","body","accelerometer","NA","NA","std",47,-0.93958629106383
"119","1","sitting","time","Z","body","accelerometer","jerk","NA","mean",47,-0.00336779235021277
"120","1","sitting","time","Z","body","accelerometer","jerk","NA","std",47,-0.987910804468085
"121","1","sitting","time","Z","gravity","accelerometer","NA","NA","mean",47,0.332043702765957
"122","1","sitting","time","Z","gravity","accelerometer","NA","NA","std",47,-0.949040933191489
"123","1","sitting","time",NA,"NA","gyroscope","NA","magnitude","mean",47,-0.93089249
"124","1","sitting","time",NA,"NA","gyroscope","NA","magnitude","std",47,-0.934531840425532
"125","1","sitting","time",NA,"NA","gyroscope","jerk","magnitude","mean",47,-0.991976341276596
"126","1","sitting","time",NA,"NA","gyroscope","jerk","magnitude","std",47,-0.988308728510638
"127","1","sitting","time",NA,"body","accelerometer","NA","magnitude","mean",47,-0.948536786170213
"128","1","sitting","time",NA,"body","accelerometer","NA","magnitude","std",47,-0.927078418723404
"129","1","sitting","time",NA,"body","accelerometer","jerk","magnitude","mean",47,-0.987364195531915
"130","1","sitting","time",NA,"body","accelerometer","jerk","magnitude","std",47,-0.984120024042553
"131","1","sitting","time",NA,"gravity","accelerometer","NA","magnitude","mean",47,-0.948536786170213
"132","1","sitting","time",NA,"gravity","accelerometer","NA","magnitude","std",47,-0.927078418723404
"133","1","standing","frequency","X","NA","gyroscope","NA","NA","mean",53,-0.986386786037736
"134","1","standing","frequency","X","NA","gyroscope","NA","NA","std",53,-0.987497128679245
"135","1","standing","frequency","X","body","accelerometer","NA","NA","mean",53,-0.995249932641509
"136","1","standing","frequency","X","body","accelerometer","NA","NA","std",53,-0.99602834509434
"137","1","standing","frequency","X","body","accelerometer","jerk","NA","mean",53,-0.994630797358491
"138","1","standing","frequency","X","body","accelerometer","jerk","NA","std",53,-0.995073759245283
"139","1","standing","frequency","Y","NA","gyroscope","NA","NA","mean",53,-0.988984455849057
"140","1","standing","frequency","Y","NA","gyroscope","NA","NA","std",53,-0.987107727735849
"141","1","standing","frequency","Y","body","accelerometer","NA","NA","mean",53,-0.977070847735849
"142","1","standing","frequency","Y","body","accelerometer","NA","NA","std",53,-0.972293102075472
"143","1","standing","frequency","Y","body","accelerometer","jerk","NA","mean",53,-0.985418704528302
"144","1","standing","frequency","Y","body","accelerometer","jerk","NA","std",53,-0.987018226792453
"145","1","standing","frequency","Z","NA","gyroscope","NA","NA","mean",53,-0.980773122830189
"146","1","standing","frequency","Z","NA","gyroscope","NA","NA","std",53,-0.98234533
"147","1","standing","frequency","Z","body","accelerometer","NA","NA","mean",53,-0.985297098679245
"148","1","standing","frequency","Z","body","accelerometer","NA","NA","std",53,-0.977937259622642
"149","1","standing","frequency","Z","body","accelerometer","jerk","NA","mean",53,-0.990752166037736
"150","1","standing","frequency","Z","body","accelerometer","jerk","NA","std",53,-0.992349818113208
"151","1","standing","frequency",NA,"NA","gyroscope","NA","magnitude","mean",53,-0.984617623396226
"152","1","standing","frequency",NA,"NA","gyroscope","NA","magnitude","std",53,-0.978466072075472
"153","1","standing","frequency",NA,"NA","gyroscope","jerk","magnitude","mean",53,-0.994815376981132
"154","1","standing","frequency",NA,"NA","gyroscope","jerk","magnitude","std",53,-0.994671123207547
"155","1","standing","frequency",NA,"body","accelerometer","NA","magnitude","mean",53,-0.985356361132075
"156","1","standing","frequency",NA,"body","accelerometer","NA","magnitude","std",53,-0.982313804716981
"157","1","standing","frequency",NA,"body","accelerometer","jerk","magnitude","mean",53,-0.99254247754717
"158","1","standing","frequency",NA,"body","accelerometer","jerk","magnitude","std",53,-0.992536003396226
"159","1","standing","time","X","NA","gyroscope","NA","NA","mean",53,-0.0239877347979245
"160","1","standing","time","X","NA","gyroscope","NA","NA","std",53,-0.987191946603774
"161","1","standing","time","X","NA","gyroscope","jerk","NA","mean",53,-0.0996092129056604
"162","1","standing","time","X","NA","gyroscope","jerk","NA","std",53,-0.992945106981132
"163","1","standing","time","X","body","accelerometer","NA","NA","mean",53,0.278917629056604
"164","1","standing","time","X","body","accelerometer","NA","NA","std",53,-0.995759901509434
"165","1","standing","time","X","body","accelerometer","jerk","NA","mean",53,0.0753766542264151
"166","1","standing","time","X","body","accelerometer","jerk","NA","std",53,-0.994604542264151
"167","1","standing","time","X","gravity","accelerometer","NA","NA","mean",53,0.942952000377358
"168","1","standing","time","X","gravity","accelerometer","NA","NA","std",53,-0.99376298509434
"169","1","standing","time","Y","NA","gyroscope","NA","NA","mean",53,-0.0593972209811321
"170","1","standing","time","Y","NA","gyroscope","NA","NA","std",53,-0.98773444
"171","1","standing","time","Y","NA","gyroscope","jerk","NA","mean",53,-0.0440627877924528
"172","1","standing","time","Y","NA","gyroscope","jerk","NA","std",53,-0.995137917358491
"173","1","standing","time","Y","body","accelerometer","NA","NA","mean",53,-0.0161375901037736
"174","1","standing","time","Y","body","accelerometer","NA","NA","std",53,-0.973190056415094
"175","1","standing","time","Y","body","accelerometer","jerk","NA","mean",53,0.00797573092830189
"176","1","standing","time","Y","body","accelerometer","jerk","NA","std",53,-0.98564873245283
"177","1","standing","time","Y","gravity","accelerometer","NA","NA","mean",53,-0.272983832264151
"178","1","standing","time","Y","gravity","accelerometer","NA","NA","std",53,-0.981225957924528
"179","1","standing","time","Z","NA","gyroscope","NA","NA","mean",53,0.074800751
"180","1","standing","time","Z","NA","gyroscope","NA","NA","std",53,-0.980645626981132
"181","1","standing","time","Z","NA","gyroscope","jerk","NA","mean",53,-0.0489505466716981
"182","1","standing","time","Z","NA","gyroscope","jerk","NA","std",53,-0.992108467169811
"183","1","standing","time","Z","body","accelerometer","NA","NA","mean",53,-0.110601817735849
"184","1","standing","time","Z","body","accelerometer","NA","NA","std",53,-0.979775876981132
"185","1","standing","time","Z","body","accelerometer","jerk","NA","mean",53,-0.00368524954709434
"186","1","standing","time","Z","body","accelerometer","jerk","NA","std",53,-0.992251177358491
"187","1","standing","time","Z","gravity","accelerometer","NA","NA","mean",53,0.0134905823226415
"188","1","standing","time","Z","gravity","accelerometer","NA","NA","std",53,-0.976324063584906
"189","1","standing","time",NA,"NA","gyroscope","NA","magnitude","mean",53,-0.976493792830189
"190","1","standing","time",NA,"NA","gyroscope","NA","magnitude","std",53,-0.978690028679245
"191","1","standing","time",NA,"NA","gyroscope","jerk","magnitude","mean",53,-0.994966790566038
"192","1","standing","time",NA,"NA","gyroscope","jerk","magnitude","std",53,-0.994733238679245
"193","1","standing","time",NA,"body","accelerometer","NA","magnitude","mean",53,-0.984278207358491
"194","1","standing","time",NA,"body","accelerometer","NA","magnitude","std",53,-0.981942928867925
"195","1","standing","time",NA,"body","accelerometer","jerk","magnitude","mean",53,-0.992367790566038
"196","1","standing","time",NA,"body","accelerometer","jerk","magnitude","std",53,-0.993096209433962
"197","1","standing","time",NA,"gravity","accelerometer","NA","magnitude","mean",53,-0.984278207358491
"198","1","standing","time",NA,"gravity","accelerometer","NA","magnitude","std",53,-0.981942928867925
"199","1","walking","frequency","X","NA","gyroscope","NA","NA","mean",95,-0.339032197115789
"200","1","walking","frequency","X","NA","gyroscope","NA","NA","std",95,-0.516691938736842
"201","1","walking","frequency","X","body","accelerometer","NA","NA","mean",95,-0.202794306326316
"202","1","walking","frequency","X","body","accelerometer","NA","NA","std",95,-0.319134719578947
"203","1","walking","frequency","X","body","accelerometer","jerk","NA","mean",95,-0.170546964549579
"204","1","walking","frequency","X","body","accelerometer","jerk","NA","std",95,-0.133586606326316
"205","1","walking","frequency","Y","NA","gyroscope","NA","NA","mean",95,-0.103059416434737
"206","1","walking","frequency","Y","NA","gyroscope","NA","NA","std",95,-0.0335081597884211
"207","1","walking","frequency","Y","body","accelerometer","NA","NA","mean",95,0.0897127264021053
"208","1","walking","frequency","Y","body","accelerometer","NA","NA","std",95,0.056040006846
"209","1","walking","frequency","Y","body","accelerometer","jerk","NA","mean",95,-0.0352255241130632
"210","1","walking","frequency","Y","body","accelerometer","jerk","NA","std",95,0.106739857136
"211","1","walking","frequency","Z","NA","gyroscope","NA","NA","mean",95,-0.255940940315789
"212","1","walking","frequency","Z","NA","gyroscope","NA","NA","std",95,-0.436562227473684
"213","1","walking","frequency","Z","body","accelerometer","NA","NA","mean",95,-0.331560117789474
"214","1","walking","frequency","Z","body","accelerometer","NA","NA","std",95,-0.279686751494737
"215","1","walking","frequency","Z","body","accelerometer","jerk","NA","mean",95,-0.468999224631579
"216","1","walking","frequency","Z","body","accelerometer","jerk","NA","std",95,-0.534713440421053
"217","1","walking","frequency",NA,"NA","gyroscope","NA","magnitude","mean",95,-0.199252568986316
"218","1","walking","frequency",NA,"NA","gyroscope","NA","magnitude","std",95,-0.321017953894737
"219","1","walking","frequency",NA,"NA","gyroscope","jerk","magnitude","mean",95,-0.319308593778947
"220","1","walking","frequency",NA,"NA","gyroscope","jerk","magnitude","std",95,-0.381601911789474
"221","1","walking","frequency",NA,"body","accelerometer","NA","magnitude","mean",95,-0.128623450629474
"222","1","walking","frequency",NA,"body","accelerometer","NA","magnitude","std",95,-0.398032586842105
"223","1","walking","frequency",NA,"body","accelerometer","jerk","magnitude","mean",95,-0.0571194000343158
"224","1","walking","frequency",NA,"body","accelerometer","jerk","magnitude","std",95,-0.103492403002105
"225","1","walking","time","X","NA","gyroscope","NA","NA","mean",95,-0.041830963526
"226","1","walking","time","X","NA","gyroscope","NA","NA","std",95,-0.473535485894737
"227","1","walking","time","X","NA","gyroscope","jerk","NA","mean",95,-0.0899975423705263
"228","1","walking","time","X","NA","gyroscope","jerk","NA","std",95,-0.207421854757895
"229","1","walking","time","X","body","accelerometer","NA","NA","mean",95,0.277330758736842
"230","1","walking","time","X","body","accelerometer","NA","NA","std",95,-0.283740258842105
"231","1","walking","time","X","body","accelerometer","jerk","NA","mean",95,0.0740416333157895
"232","1","walking","time","X","body","accelerometer","jerk","NA","std",95,-0.113615602435789
"233","1","walking","time","X","gravity","accelerometer","NA","NA","mean",95,0.935223201473684
"234","1","walking","time","X","gravity","accelerometer","NA","NA","std",95,-0.976609642526316
"235","1","walking","time","Y","NA","gyroscope","NA","NA","mean",95,-0.0695300462115789
"236","1","walking","time","Y","NA","gyroscope","NA","NA","std",95,-0.0546077686594737
"237","1","walking","time","Y","NA","gyroscope","jerk","NA","mean",95,-0.0398428709463158
"238","1","walking","time","Y","NA","gyroscope","jerk","NA","std",95,-0.304468510631579
"239","1","walking","time","Y","body","accelerometer","NA","NA","mean",95,-0.0173838185273684
"240","1","walking","time","Y","body","accelerometer","NA","NA","std",95,0.114461336747368
"241","1","walking","time","Y","body","accelerometer","jerk","NA","mean",95,0.0282721095884211
"242","1","walking","time","Y","body","accelerometer","jerk","NA","std",95,0.0670025007684211
"243","1","walking","time","Y","gravity","accelerometer","NA","NA","mean",95,-0.282165021263158
"244","1","walking","time","Y","gravity","accelerometer","NA","NA","std",95,-0.971305961473684
"245","1","walking","time","Z","NA","gyroscope","NA","NA","mean",95,0.0849448173042105
"246","1","walking","time","Z","NA","gyroscope","NA","NA","std",95,-0.344266629473684
"247","1","walking","time","Z","NA","gyroscope","jerk","NA","mean",95,-0.0461309295021053
"248","1","walking","time","Z","NA","gyroscope","jerk","NA","std",95,-0.404255452631579
"249","1","walking","time","Z","body","accelerometer","NA","NA","mean",95,-0.111148103547368
"250","1","walking","time","Z","body","accelerometer","NA","NA","std",95,-0.260027902210526
"251","1","walking","time","Z","body","accelerometer","jerk","NA","mean",95,-0.00416840617789474
"252","1","walking","time","Z","body","accelerometer","jerk","NA","std",95,-0.502699788526316
"253","1","walking","time","Z","gravity","accelerometer","NA","NA","mean",95,-0.068102864
"254","1","walking","time","Z","gravity","accelerometer","NA","NA","std",95,-0.947717226105263
"255","1","walking","time",NA,"NA","gyroscope","NA","magnitude","mean",95,-0.160979552536842
"256","1","walking","time",NA,"NA","gyroscope","NA","magnitude","std",95,-0.186978364526316
"257","1","walking","time",NA,"NA","gyroscope","jerk","magnitude","mean",95,-0.298703679084211
"258","1","walking","time",NA,"NA","gyroscope","jerk","magnitude","std",95,-0.325324878894737
"259","1","walking","time",NA,"body","accelerometer","NA","magnitude","mean",95,-0.136971176556842
"260","1","walking","time",NA,"body","accelerometer","NA","magnitude","std",95,-0.219688645631579
"261","1","walking","time",NA,"body","accelerometer","jerk","magnitude","mean",95,-0.141428809031579
"262","1","walking","time",NA,"body","accelerometer","jerk","magnitude","std",95,-0.0744717500625263
"263","1","walking","time",NA,"gravity","accelerometer","NA","magnitude","mean",95,-0.136971176556842
"264","1","walking","time",NA,"gravity","accelerometer","NA","magnitude","std",95,-0.219688645631579
"265","1","walking_downstairs","frequency","X","NA","gyroscope","NA","NA","mean",49,-0.352449631363265
"266","1","walking_downstairs","frequency","X","NA","gyroscope","NA","NA","std",49,-0.495422486102041
"267","1","walking_downstairs","frequency","X","body","accelerometer","NA","NA","mean",49,0.0382291831510204
"268","1","walking_downstairs","frequency","X","body","accelerometer","NA","NA","std",49,0.0243308391387755
"269","1","walking_downstairs","frequency","X","body","accelerometer","jerk","NA","mean",49,-0.0276638676122449
"270","1","walking_downstairs","frequency","X","body","accelerometer","jerk","NA","std",49,-0.0863278966402041
"271","1","walking_downstairs","frequency","Y","NA","gyroscope","NA","NA","mean",49,-0.0557022524693878
"272","1","walking_downstairs","frequency","Y","NA","gyroscope","NA","NA","std",49,-0.181414728657143
"273","1","walking_downstairs","frequency","Y","body","accelerometer","NA","NA","mean",49,0.00154990783591837
"274","1","walking_downstairs","frequency","Y","body","accelerometer","NA","NA","std",49,-0.112963739953061
"275","1","walking_downstairs","frequency","Y","body","accelerometer","jerk","NA","mean",49,-0.12866715764898
"276","1","walking_downstairs","frequency","Y","body","accelerometer","jerk","NA","std",49,-0.134580008877551
"277","1","walking_downstairs","frequency","Z","NA","gyroscope","NA","NA","mean",49,-0.0318694271979592
"278","1","walking_downstairs","frequency","Z","NA","gyroscope","NA","NA","std",49,-0.238443565306122
"279","1","walking_downstairs","frequency","Z","body","accelerometer","NA","NA","mean",49,-0.225574471693878
"280","1","walking_downstairs","frequency","Z","body","accelerometer","NA","NA","std",49,-0.297927894693878
"281","1","walking_downstairs","frequency","Z","body","accelerometer","jerk","NA","mean",49,-0.288334735714286
"282","1","walking_downstairs","frequency","Z","body","accelerometer","jerk","NA","std",49,-0.401721464285714
"283","1","walking_downstairs","frequency",NA,"NA","gyroscope","NA","magnitude","mean",49,-0.185720285744898
"284","1","walking_downstairs","frequency",NA,"NA","gyroscope","NA","magnitude","std",49,-0.398350390122449
"285","1","walking_downstairs","frequency",NA,"NA","gyroscope","jerk","magnitude","mean",49,-0.281963359177551
"286","1","walking_downstairs","frequency",NA,"NA","gyroscope","jerk","magnitude","std",49,-0.391919876612245
"287","1","walking_downstairs","frequency",NA,"body","accelerometer","NA","magnitude","mean",49,0.0965845343040816
"288","1","walking_downstairs","frequency",NA,"body","accelerometer","NA","magnitude","std",49,-0.186530301073469
"289","1","walking_downstairs","frequency",NA,"body","accelerometer","jerk","magnitude","mean",49,0.0262184949326531
"290","1","walking_downstairs","frequency",NA,"body","accelerometer","jerk","magnitude","std",49,-0.104052260726531
"291","1","walking_downstairs","time","X","NA","gyroscope","NA","NA","mean",49,-0.0350781902989796
"292","1","walking_downstairs","time","X","NA","gyroscope","NA","NA","std",49,-0.458030542938775
"293","1","walking_downstairs","time","X","NA","gyroscope","jerk","NA","mean",49,-0.0739592036271429
"294","1","walking_downstairs","time","X","NA","gyroscope","jerk","NA","std",49,-0.487027342244898
"295","1","walking_downstairs","time","X","body","accelerometer","NA","NA","mean",49,0.289188320408163
"296","1","walking_downstairs","time","X","body","accelerometer","NA","NA","std",49,0.0300353383483878
"297","1","walking_downstairs","time","X","body","accelerometer","jerk","NA","mean",49,0.0541553164897959
"298","1","walking_downstairs","time","X","body","accelerometer","jerk","NA","std",49,-0.012283860544898
"299","1","walking_downstairs","time","X","gravity","accelerometer","NA","NA","mean",49,0.931874418979592
"300","1","walking_downstairs","time","X","gravity","accelerometer","NA","NA","std",49,-0.950559811632653
"301","1","walking_downstairs","time","Y","NA","gyroscope","NA","NA","mean",49,-0.0909371290204082
"302","1","walking_downstairs","time","Y","NA","gyroscope","NA","NA","std",49,-0.126349194938775
"303","1","walking_downstairs","time","Y","NA","gyroscope","jerk","NA","mean",49,-0.0439902783367347
"304","1","walking_downstairs","time","Y","NA","gyroscope","jerk","NA","std",49,-0.238824827530612
"305","1","walking_downstairs","time","Y","body","accelerometer","NA","NA","mean",49,-0.00991850461020408
"306","1","walking_downstairs","time","Y","body","accelerometer","NA","NA","std",49,-0.0319359434489796
"307","1","walking_downstairs","time","Y","body","accelerometer","jerk","NA","mean",49,0.0296504490408163
"308","1","walking_downstairs","time","Y","body","accelerometer","jerk","NA","std",49,-0.101601390640816
"309","1","walking_downstairs","time","Y","gravity","accelerometer","NA","NA","mean",49,-0.266610338979592
"310","1","walking_downstairs","time","Y","gravity","accelerometer","NA","NA","std",49,-0.937018658979592
"311","1","walking_downstairs","time","Z","NA","gyroscope","NA","NA","mean",49,0.0900850142030612
"312","1","walking_downstairs","time","Z","NA","gyroscope","NA","NA","std",49,-0.124702454242857
"313","1","walking_downstairs","time","Z","NA","gyroscope","jerk","NA","mean",49,-0.0270461061061224
"314","1","walking_downstairs","time","Z","NA","gyroscope","jerk","NA","std",49,-0.268761480242857
"315","1","walking_downstairs","time","Z","body","accelerometer","NA","NA","mean",49,-0.107566190908163
"316","1","walking_downstairs","time","Z","body","accelerometer","NA","NA","std",49,-0.230434213204082
"317","1","walking_downstairs","time","Z","body","accelerometer","jerk","NA","mean",49,-0.0109719730183673
"318","1","walking_downstairs","time","Z","body","accelerometer","jerk","NA","std",49,-0.345735032326531
